Localidad,Departamento,Provincia,Region,Anio,Poblacion Urbana
Gran Buenos Aires,NA,GBA,GBA,2010,13588171
Gran Buenos Aires,NA,GBA,GBA,2001,12053296
Gran Buenos Aires,NA,GBA,GBA,1991,11301472
Gran Buenos Aires,NA,GBA,GBA,1980,9969826
Gran Buenos Aires,NA,GBA,GBA,1970,8451495
Gran Buenos Aires,NA,GBA,GBA,1960,6775906
Gran Córdoba,NA,Córdoba,Centro,2010,1454536
Gran Córdoba,NA,Córdoba,Centro,2001,1373078
Gran Córdoba,NA,Córdoba,Centro,1991,1231976
Gran Córdoba,NA,Córdoba,Centro,1980,1018720
Gran Córdoba,NA,Córdoba,Centro,1970,820183
Gran Córdoba,NA,Córdoba,Centro,1960,598957
Gran Rosario,NA,Santa Fe,Pampeana,2010,1236089
Gran Rosario,NA,Santa Fe,Pampeana,2001,1161188
Gran Rosario,NA,Santa Fe,Pampeana,1991,1118905
Gran Rosario,NA,Santa Fe,Pampeana,1980,958587
Gran Rosario,NA,Santa Fe,Pampeana,1970,805838
Gran Rosario,NA,Santa Fe,Pampeana,1960,670232
Gran Mendoza,NA,Mendoza,Cuyo,2010,937154
Gran Mendoza,NA,Mendoza,Cuyo,2001,848660
Gran Mendoza,NA,Mendoza,Cuyo,1991,773113
Gran Mendoza,NA,Mendoza,Cuyo,1980,612777
Gran Mendoza,NA,Mendoza,Cuyo,1970,491723
Gran Mendoza,NA,Mendoza,Cuyo,1960,395171
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,2010,794327
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,2001,740601
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,1991,623916
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,1980,498579
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,1970,360979
Gran San Miguel de Tucumán,NA,Tucumán,Noroeste,1960,308754
Gran La Plata,NA,Buenos Aires,Pampeana,2010,787294
Gran La Plata,NA,Buenos Aires,Pampeana,2001,694253
Gran La Plata,NA,Buenos Aires,Pampeana,1991,642802
Gran La Plata,NA,Buenos Aires,Pampeana,1980,564750
Gran La Plata,NA,Buenos Aires,Pampeana,1970,493591
Gran La Plata,NA,Buenos Aires,Pampeana,1960,406538
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,2010,593337
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,2001,541951
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,1991,512876
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,1980,415309
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,1970,304615
Mar del Plata ,General Pueyrredón,Buenos Aires,Pampeana,1960,215573
Gran Salta,NA,Salta,Noroeste,2010,551056
Gran Salta,NA,Salta,Noroeste,2001,489876
Gran Salta,NA,Salta,Noroeste,1991,385776
Gran Salta,NA,Salta,Noroeste,1980,266865
Gran Salta,NA,Salta,Noroeste,1970,184626
Gran Salta,NA,Salta,Noroeste,1960,121638
Gran Santa Fe,La Capital,Santa Fe,Pampeana,2010,467675
Gran Santa Fe,La Capital,Santa Fe,Pampeana,2001,454238
Gran Santa Fe,La Capital,Santa Fe,Pampeana,1991,407293
Gran Santa Fe,La Capital,Santa Fe,Pampeana,1980,336829
Gran Santa Fe,La Capital,Santa Fe,Pampeana,1970,279820
Gran Santa Fe,La Capital,Santa Fe,Pampeana,1960,229594
Gran San Juan ,NA,San Juan,Cuyo,2010,461213
Gran San Juan ,NA,San Juan,Cuyo,2001,421640
Gran San Juan ,NA,San Juan,Cuyo,1991,354760
Gran San Juan ,NA,San Juan,Cuyo,1980,293791
Gran San Juan ,NA,San Juan,Cuyo,1970,224256
Gran San Juan ,NA,San Juan,Cuyo,1960,190904
Gran Resistencia,San Fernando,Chaco,Noreste,2010,385726
Gran Resistencia,San Fernando,Chaco,Noreste,2001,359590
Gran Resistencia,San Fernando,Chaco,Noreste,1991,292287
Gran Resistencia,San Fernando,Chaco,Noreste,1980,220104
Gran Resistencia,San Fernando,Chaco,Noreste,1970,148191
Gran Resistencia,San Fernando,Chaco,Noreste,1960,112338
Santiago del Estero - La Banda,NA,Santiago del Estero,Pampeana,2010,360923
Santiago del Estero - La Banda,NA,Santiago del Estero,Pampeana,2001,327974
Santiago del Estero - La Banda,NA,Santiago del Estero,Pampeana,1991,263471
Santiago del Estero - La Banda,NA,Santiago del Estero,Pampeana,1980,199532
Santiago del Estero - La Banda,NA,Santiago del Estero,Pampeana,1970,140576
Santiago del Estero - La Banda,NA,Santiago del Estero,Pampeana,1960,112745
Gran Corrientes ,Capital,Corrientes,Noreste,2010,346334
Gran Corrientes ,Capital,Corrientes,Noreste,2001,316782
Gran Corrientes ,Capital,Corrientes,Noreste,1991,258103
Gran Corrientes ,Capital,Corrientes,Noreste,1980,179590
Gran Corrientes ,Capital,Corrientes,Noreste,1970,132510
Gran Corrientes ,Capital,Corrientes,Noreste,1960,97507
Gran Posadas,Capital,Misiones,Noreste,2010,319469
Gran Posadas,Capital,Misiones,Noreste,2001,279961
Gran Posadas,Capital,Misiones,Noreste,1991,213686
Gran Posadas,Capital,Misiones,Noreste,1980,145797
Gran Posadas,Capital,Misiones,Noreste,1970,100974
Gran Posadas,Capital,Misiones,Noreste,1960,73865
Gran San Salvador de Jujuy,Dr Manuel Belgrano,Jujuy,Noroeste,2010,310106
Gran San Salvador de Jujuy,Dr Manuel Belgrano,Jujuy,Noroeste,2001,278336
Gran San Salvador de Jujuy,Dr Manuel Belgrano,Jujuy,Noroeste,1991,219924
Gran San Salvador de Jujuy,Dr Manuel Belgrano,Jujuy,Noroeste,1980,153461
Gran San Salvador de Jujuy,Dr Manuel Belgrano,Jujuy,Noroeste,1970,99040
Gran San Salvador de Jujuy,Dr Manuel Belgrano,Jujuy,Noroeste,1960,55644
Bahía Blanca,Bahía Blanca,Buenos Aires,Pampeana,2010,291327
Bahía Blanca,Bahía Blanca,Buenos Aires,Pampeana,2001,274509
Bahía Blanca,Bahía Blanca,Buenos Aires,Pampeana,1991,260096
Bahía Blanca,Bahía Blanca,Buenos Aires,Pampeana,1980,223818
Bahía Blanca,Bahía Blanca,Buenos Aires,Pampeana,1970,181617
Bahía Blanca,Bahía Blanca,Buenos Aires,Pampeana,1960,143309
Gran Paraná ,Paraná,Entre Ríos,Pampeana,2010,264076
Gran Paraná ,Paraná,Entre Ríos,Pampeana,2001,247310
Gran Paraná ,Paraná,Entre Ríos,Pampeana,1991,211936
Gran Paraná ,Paraná,Entre Ríos,Pampeana,1980,163077
Gran Paraná ,Paraná,Entre Ríos,Pampeana,1970,128193
Gran Paraná ,Paraná,Entre Ríos,Pampeana,1960,111267
Neuquén - Plottier ,Confluencia,Neuquén,Comahue,2010,263588
Neuquén - Plottier ,Confluencia,Neuquén,Comahue,2001,224742
Neuquén - Plottier ,Confluencia,Neuquén,Comahue,1991,183579
Neuquén - Plottier ,Confluencia,Neuquén,Comahue,1980,98102
Neuquén - Plottier ,Confluencia,Neuquén,Comahue,1970,45581
Neuquén - Plottier ,Confluencia,Neuquén,Comahue,1960,27517
Formosa,Formosa,Formosa,Noreste,2010,222226
Formosa,Formosa,Formosa,Noreste,2001,198074
Formosa,Formosa,Formosa,Noreste,1991,147636
Formosa,Formosa,Formosa,Noreste,1980,95067
Formosa,Formosa,Formosa,Noreste,1970,61071
Formosa,Formosa,Formosa,Noreste,1960,36499
Gran San Fernando del Valle de Catamarca,NA,Catamarca,Noroeste,2010,195055
Gran San Fernando del Valle de Catamarca,NA,Catamarca,Noroeste,2001,171923
Gran San Fernando del Valle de Catamarca,NA,Catamarca,Noroeste,1991,132626
Gran San Fernando del Valle de Catamarca,NA,Catamarca,Noroeste,1980,90851
Gran San Fernando del Valle de Catamarca,NA,Catamarca,Noroeste,1970,66918
Gran San Fernando del Valle de Catamarca,NA,Catamarca,Noroeste,1960,60586
Gran San Luis ,La Capital,San Luis,Centro,2010,182414
Gran San Luis ,La Capital,San Luis,Centro,2001,162011
Gran San Luis ,La Capital,San Luis,Centro,1991,114322
Gran San Luis ,La Capital,San Luis,Centro,1980,73404
Gran San Luis ,La Capital,San Luis,Centro,1970,51699
Gran San Luis ,La Capital,San Luis,Centro,1960,40852
La Rioja ,Capital,La Rioja,Centro,2010,178872
La Rioja ,Capital,La Rioja,Centro,2001,143684
La Rioja ,Capital,La Rioja,Centro,1991,103727
La Rioja ,Capital,La Rioja,Centro,1980,67043
La Rioja ,Capital,La Rioja,Centro,1970,46090
La Rioja ,Capital,La Rioja,Centro,1960,37000
Comodoro Rivadavia,Escalante,Chubut,Noreste,2010,175196
Comodoro Rivadavia,Escalante,Chubut,Noreste,2001,135632
Comodoro Rivadavia,Escalante,Chubut,Noreste,1991,124104
Comodoro Rivadavia,Escalante,Chubut,Noreste,1980,96817
Comodoro Rivadavia,Escalante,Chubut,Noreste,1970,75848
Comodoro Rivadavia,Escalante,Chubut,Noreste,1960,46229
Gran Río Cuarto,Río Cuarto,Córdoba,Centro,2010,163048
Gran Río Cuarto,Río Cuarto,Córdoba,Centro,2001,149303
Gran Río Cuarto,Río Cuarto,Córdoba,Centro,1991,138853
Gran Río Cuarto,Río Cuarto,Córdoba,Centro,1980,113190
Gran Río Cuarto,Río Cuarto,Córdoba,Centro,1970,92813
Gran Río Cuarto,Río Cuarto,Córdoba,Centro,1960,73539
Concordia ,Concordia,Entre Ríos,Pampeana,2010,149450
Concordia ,Concordia,Entre Ríos,Pampeana,2001,138991
Concordia ,Concordia,Entre Ríos,Pampeana,1991,118464
Concordia ,Concordia,Entre Ríos,Pampeana,1980,95103
Concordia ,Concordia,Entre Ríos,Pampeana,1970,73195
Concordia ,Concordia,Entre Ríos,Pampeana,1960,57414
San Nicolás de los Arroyos ,San Nicolás,Buenos Aires,Pampeana,2010,133602
San Nicolás de los Arroyos ,San Nicolás,Buenos Aires,Pampeana,2001,125408
San Nicolás de los Arroyos ,San Nicolás,Buenos Aires,Pampeana,1991,119302
San Nicolás de los Arroyos ,San Nicolás,Buenos Aires,Pampeana,1980,98495
San Nicolás de los Arroyos ,San Nicolás,Buenos Aires,Pampeana,1970,69049
San Nicolás de los Arroyos ,San Nicolás,Buenos Aires,Pampeana,1960,50818
San Rafael,San Rafael,Mendoza,Cuyo,2010,118009
San Rafael,San Rafael,Mendoza,Cuyo,2001,106386
San Rafael,San Rafael,Mendoza,Cuyo,1991,94651
San Rafael,San Rafael,Mendoza,Cuyo,1980,72759
San Rafael,San Rafael,Mendoza,Cuyo,1970,59927
San Rafael,San Rafael,Mendoza,Cuyo,1960,48099
Tandil,Tandil,Buenos Aires,Pampeana,2010,116916
Tandil,Tandil,Buenos Aires,Pampeana,2001,101010
Tandil,Tandil,Buenos Aires,Pampeana,1991,91101
Tandil,Tandil,Buenos Aires,Pampeana,1980,79429
Tandil,Tandil,Buenos Aires,Pampeana,1970,64500
Tandil,Tandil,Buenos Aires,Pampeana,1960,53000
Gran Santa Rosa ,NA,La Pampa,Pampeana,2010,114486
Gran Santa Rosa ,NA,La Pampa,Pampeana,2001,102399
Gran Santa Rosa ,NA,La Pampa,Pampeana,1991,80592
Gran Santa Rosa ,NA,La Pampa,Pampeana,1980,55306
Gran Santa Rosa ,NA,La Pampa,Pampeana,1970,35840
Gran Santa Rosa ,NA,La Pampa,Pampeana,1960,25599
Villa Mercedes   ,General Pedernera,San Luis,Centro,2010,111391
Villa Mercedes   ,General Pedernera,San Luis,Centro,2001,96781
Villa Mercedes   ,General Pedernera,San Luis,Centro,1991,77077
Villa Mercedes   ,General Pedernera,San Luis,Centro,1980,50992
Villa Mercedes   ,General Pedernera,San Luis,Centro,1970,40052
Villa Mercedes   ,General Pedernera,San Luis,Centro,1960,35449
San Carlos de Bariloche ,Bariloche,Río Negro,Comahue,2010,109305
San Carlos de Bariloche ,Bariloche,Río Negro,Comahue,2001,90621
San Carlos de Bariloche ,Bariloche,Río Negro,Comahue,1991,78820
San Carlos de Bariloche ,Bariloche,Río Negro,Comahue,1980,48980
San Carlos de Bariloche ,Bariloche,Río Negro,Comahue,1970,26846
San Carlos de Bariloche ,Bariloche,Río Negro,Comahue,1960,16643
Zárate ,Zárate,Buenos Aires,Pampeana,2010,98522
Zárate ,Zárate,Buenos Aires,Pampeana,2001,86686
Zárate ,Zárate,Buenos Aires,Pampeana,1991,80156
Zárate ,Zárate,Buenos Aires,Pampeana,1980,67143
Zárate ,Zárate,Buenos Aires,Pampeana,1970,56282
Zárate ,Zárate,Buenos Aires,Pampeana,1960,48230
Villa María - Villa Nueva ,General San Martín,Córdoba,Centro,2010,98169
Villa María - Villa Nueva ,General San Martín,Córdoba,Centro,2001,88643
Villa María - Villa Nueva ,General San Martín,Córdoba,Centro,1991,78520
Villa María - Villa Nueva ,General San Martín,Córdoba,Centro,1980,67560
Villa María - Villa Nueva ,General San Martín,Córdoba,Centro,1970,59349
Villa María - Villa Nueva ,General San Martín,Córdoba,Centro,1960,51103
Trelew ,Rawson,Chubut,Noreste,2010,97915
Trelew ,Rawson,Chubut,Noreste,2001,88305
Trelew ,Rawson,Chubut,Noreste,1991,78194
Trelew ,Rawson,Chubut,Noreste,1980,52372
Trelew ,Rawson,Chubut,Noreste,1970,24214
Trelew ,Rawson,Chubut,Noreste,1960,11590
Luján ,Luján,Buenos Aires,Pampeana,2010,97363
Luján ,Luján,Buenos Aires,Pampeana,2001,83582
Luján ,Luján,Buenos Aires,Pampeana,1991,68320
Luján ,Luján,Buenos Aires,Pampeana,1980,59073
Luján ,Luján,Buenos Aires,Pampeana,1970,53999
Luján ,Luján,Buenos Aires,Pampeana,1960,44027
Río Gallegos,Güer Aike,Santa Cruz,Patagonia,2010,95796
Río Gallegos,Güer Aike,Santa Cruz,Patagonia,2001,79144
Río Gallegos,Güer Aike,Santa Cruz,Patagonia,1991,64640
Río Gallegos,Güer Aike,Santa Cruz,Patagonia,1980,43727
Río Gallegos,Güer Aike,Santa Cruz,Patagonia,1970,27833
Río Gallegos,Güer Aike,Santa Cruz,Patagonia,1960,14439
Reconquista - Avellaneda  ,General Obligado,Santa Fe,Pampeana,2010,93890
Reconquista - Avellaneda  ,General Obligado,Santa Fe,Pampeana,2001,82892
Reconquista - Avellaneda  ,General Obligado,Santa Fe,Pampeana,1991,66656
Reconquista - Avellaneda  ,General Obligado,Santa Fe,Pampeana,1980,43021
Reconquista - Avellaneda  ,General Obligado,Santa Fe,Pampeana,1970,31776
Reconquista - Avellaneda  ,General Obligado,Santa Fe,Pampeana,1960,22057
Rafaela,Castellanos,Santa Fe,Pampeana,2010,91571
Rafaela,Castellanos,Santa Fe,Pampeana,2001,82416
Rafaela,Castellanos,Santa Fe,Pampeana,1991,67230
Rafaela,Castellanos,Santa Fe,Pampeana,1980,53273
Rafaela,Castellanos,Santa Fe,Pampeana,1970,43695
Rafaela,Castellanos,Santa Fe,Pampeana,1960,34046
Pergamino,Pergamino,Buenos Aires,Pampeana,2010,91399
Pergamino,Pergamino,Buenos Aires,Pampeana,2001,85487
Pergamino,Pergamino,Buenos Aires,Pampeana,1991,79240
Pergamino,Pergamino,Buenos Aires,Pampeana,1980,68612
Pergamino,Pergamino,Buenos Aires,Pampeana,1970,56078
Pergamino,Pergamino,Buenos Aires,Pampeana,1960,45366
Presidencia Roque Sáenz Peña,Comandante Fernández,Chaco,Noreste,2010,89882
Presidencia Roque Sáenz Peña,Comandante Fernández,Chaco,Noreste,2001,76794
Presidencia Roque Sáenz Peña,Comandante Fernández,Chaco,Noreste,1991,63135
Presidencia Roque Sáenz Peña,Comandante Fernández,Chaco,Noreste,1980,49341
Presidencia Roque Sáenz Peña,Comandante Fernández,Chaco,Noreste,1970,34341
Presidencia Roque Sáenz Peña,Comandante Fernández,Chaco,Noreste,1960,29166
Olavarría,Olavarría,Buenos Aires,Pampeana,2010,89721
Olavarría,Olavarría,Buenos Aires,Pampeana,2001,83738
Olavarría,Olavarría,Buenos Aires,Pampeana,1991,75714
Olavarría,Olavarría,Buenos Aires,Pampeana,1980,64374
Olavarría,Olavarría,Buenos Aires,Pampeana,1970,52453
Olavarría,Olavarría,Buenos Aires,Pampeana,1960,40000
San Martín - La Colonia ,NA,Mendoza,Cuyo,2010,88879
San Martín - La Colonia ,NA,Mendoza,Cuyo,2001,79662
San Martín - La Colonia ,NA,Mendoza,Cuyo,1991,71530
San Martín - La Colonia ,NA,Mendoza,Cuyo,1980,49349
San Martín - La Colonia ,NA,Mendoza,Cuyo,1970,35423
San Martín - La Colonia ,NA,Mendoza,Cuyo,1960,26171
Junín ,Junín,Buenos Aires,Pampeana,2010,87509
Junín ,Junín,Buenos Aires,Pampeana,2001,82427
Junín ,Junín,Buenos Aires,Pampeana,1991,74997
Junín ,Junín,Buenos Aires,Pampeana,1980,62458
Junín ,Junín,Buenos Aires,Pampeana,1970,59020
Junín ,Junín,Buenos Aires,Pampeana,1960,54054
Campana ,Campana,Buenos Aires,Pampeana,2010,86860
Campana ,Campana,Buenos Aires,Pampeana,2001,77838
Campana ,Campana,Buenos Aires,Pampeana,1991,67783
Campana ,Campana,Buenos Aires,Pampeana,1980,53994
Campana ,Campana,Buenos Aires,Pampeana,1970,39109
Campana ,Campana,Buenos Aires,Pampeana,1960,27390
Necochea - Quequén ,Necochea,Buenos Aires,Pampeana,2010,84784
Necochea - Quequén ,Necochea,Buenos Aires,Pampeana,2001,80029
Necochea - Quequén ,Necochea,Buenos Aires,Pampeana,1991,73331
Necochea - Quequén ,Necochea,Buenos Aires,Pampeana,1980,62843
Necochea - Quequén ,Necochea,Buenos Aires,Pampeana,1970,49167
Necochea - Quequén ,Necochea,Buenos Aires,Pampeana,1960,37983
Gualeguaychú - Pueblo General Belgrano ,Gualeguaychú,Entre Ríos,Pampeana,2010,82644
Gualeguaychú - Pueblo General Belgrano ,Gualeguaychú,Entre Ríos,Pampeana,2001,75516
Gualeguaychú - Pueblo General Belgrano ,Gualeguaychú,Entre Ríos,Pampeana,1991,64843
Gualeguaychú - Pueblo General Belgrano ,Gualeguaychú,Entre Ríos,Pampeana,1980,51400
Gualeguaychú - Pueblo General Belgrano ,Gualeguaychú,Entre Ríos,Pampeana,1970,40661
Gualeguaychú - Pueblo General Belgrano ,Gualeguaychú,Entre Ríos,Pampeana,1960,35449
General Roca,General Roca,Río Negro,Comahue,2010,81534
General Roca,General Roca,Río Negro,Comahue,2001,69726
General Roca,General Roca,Río Negro,Comahue,1991,61846
General Roca,General Roca,Río Negro,Comahue,1980,44039
General Roca,General Roca,Río Negro,Comahue,1970,30324
General Roca,General Roca,Río Negro,Comahue,1960,18709
Puerto Madryn,Biedma,Chubut,Noreste,2010,81315
Puerto Madryn,Biedma,Chubut,Noreste,2001,57614
Puerto Madryn,Biedma,Chubut,Noreste,1991,44916
Puerto Madryn,Biedma,Chubut,Noreste,1980,20478
Puerto Madryn,Biedma,Chubut,Noreste,1970,6115
Puerto Madryn,Biedma,Chubut,Noreste,1960,5586
Cipolletti ,General Roca,Río Negro,Comahue,2010,77713
Cipolletti ,General Roca,Río Negro,Comahue,2001,66299
Cipolletti ,General Roca,Río Negro,Comahue,1991,60224
Cipolletti ,General Roca,Río Negro,Comahue,1980,40268
Cipolletti ,General Roca,Río Negro,Comahue,1970,23868
Cipolletti ,General Roca,Río Negro,Comahue,1960,13578
San Ramón de la Nueva Orán ,Orán,Salta,Noroeste,2010,76070
San Ramón de la Nueva Orán ,Orán,Salta,Noroeste,2001,66915
San Ramón de la Nueva Orán ,Orán,Salta,Noroeste,1991,50739
San Ramón de la Nueva Orán ,Orán,Salta,Noroeste,1980,32910
San Ramón de la Nueva Orán ,Orán,Salta,Noroeste,1970,20212
San Ramón de la Nueva Orán ,Orán,Salta,Noroeste,1960,14286
Venado Tuerto,General López,Santa Fe,Pampeana,2010,75437
Venado Tuerto,General López,Santa Fe,Pampeana,2001,68426
Venado Tuerto,General López,Santa Fe,Pampeana,1991,58784
Venado Tuerto,General López,Santa Fe,Pampeana,1980,47501
Venado Tuerto,General López,Santa Fe,Pampeana,1970,35677
Venado Tuerto,General López,Santa Fe,Pampeana,1960,23433
Concepción del Uruguay,Uruguay,Entre Ríos,Pampeana,2010,72528
Concepción del Uruguay,Uruguay,Entre Ríos,Pampeana,2001,64954
Concepción del Uruguay,Uruguay,Entre Ríos,Pampeana,1991,55919
Concepción del Uruguay,Uruguay,Entre Ríos,Pampeana,1980,46247
Concepción del Uruguay,Uruguay,Entre Ríos,Pampeana,1970,38967
Concepción del Uruguay,Uruguay,Entre Ríos,Pampeana,1960,34000
Goya,Goya,Corrientes,Noreste,2010,71606
Goya,Goya,Corrientes,Noreste,2001,66709
Goya,Goya,Corrientes,Noreste,1991,56840
Goya,Goya,Corrientes,Noreste,1980,47357
Goya,Goya,Corrientes,Noreste,1970,39367
Goya,Goya,Corrientes,Noreste,1960,30011
Villa Carlos Paz - San Antonio de Arredondo - Villa Río Icho Cruz ,Punilla,Córdoba,Centro,2010,69840
Villa Carlos Paz - San Antonio de Arredondo - Villa Río Icho Cruz ,Punilla,Córdoba,Centro,2001,61165
Villa Carlos Paz - San Antonio de Arredondo - Villa Río Icho Cruz ,Punilla,Córdoba,Centro,1991,43009
Villa Carlos Paz - San Antonio de Arredondo - Villa Río Icho Cruz ,Punilla,Córdoba,Centro,1980,29655
Villa Carlos Paz - San Antonio de Arredondo - Villa Río Icho Cruz ,Punilla,Córdoba,Centro,1970,20890
Villa Carlos Paz - San Antonio de Arredondo - Villa Río Icho Cruz ,Punilla,Córdoba,Centro,1960,10842
Río Grande ,Río Grande,Tierra del Fuego,Patagonia,2010,66475
Río Grande ,Río Grande,Tierra del Fuego,Patagonia,2001,52681
Río Grande ,Río Grande,Tierra del Fuego,Patagonia,1991,38137
Río Grande ,Río Grande,Tierra del Fuego,Patagonia,1980,13211
Río Grande ,Río Grande,Tierra del Fuego,Patagonia,1970,6189
Río Grande ,Río Grande,Tierra del Fuego,Patagonia,1960,3666
Tartagal ,General José de San Martín,Salta,Noroeste,2010,64525
Tartagal ,General José de San Martín,Salta,Noroeste,2001,56308
Tartagal ,General José de San Martín,Salta,Noroeste,1991,43586
Tartagal ,General José de San Martín,Salta,Noroeste,1980,31556
Tartagal ,General José de San Martín,Salta,Noroeste,1970,23696
Tartagal ,General José de San Martín,Salta,Noroeste,1960,13961
Oberá,Oberá,Misiones,Noreste,2010,63960
Oberá,Oberá,Misiones,Noreste,2001,51503
Oberá,Oberá,Misiones,Noreste,1991,40068
Oberá,Oberá,Misiones,Noreste,1980,27954
Oberá,Oberá,Misiones,Noreste,1970,15047
Oberá,Oberá,Misiones,Noreste,1960,12322
San Francisco ,San Justo,Córdoba,Centro,2010,61750
San Francisco ,San Justo,Córdoba,Centro,2001,58779
San Francisco ,San Justo,Córdoba,Centro,1991,55764
San Francisco ,San Justo,Córdoba,Centro,1980,51932
San Francisco ,San Justo,Córdoba,Centro,1970,45023
San Francisco ,San Justo,Córdoba,Centro,1960,38000
San Pedro  (Est. San Pedro de Jujuy) ,San Pedro,Jujuy,Noroeste,2010,59131
San Pedro  (Est. San Pedro de Jujuy) ,San Pedro,Jujuy,Noroeste,2001,55220
San Pedro  (Est. San Pedro de Jujuy) ,San Pedro,Jujuy,Noroeste,1991,49785
San Pedro  (Est. San Pedro de Jujuy) ,San Pedro,Jujuy,Noroeste,1980,37101
San Pedro  (Est. San Pedro de Jujuy) ,San Pedro,Jujuy,Noroeste,1970,25265
San Pedro  (Est. San Pedro de Jujuy) ,San Pedro,Jujuy,Noroeste,1960,15354
Punta Alta (Est. Almirante Solier) ,Coronel de Marina L. Rosales,Buenos Aires,Pampeana,2010,58315
Punta Alta (Est. Almirante Solier) ,Coronel de Marina L. Rosales,Buenos Aires,Pampeana,2001,57649
Punta Alta (Est. Almirante Solier) ,Coronel de Marina L. Rosales,Buenos Aires,Pampeana,1991,56637
Punta Alta (Est. Almirante Solier) ,Coronel de Marina L. Rosales,Buenos Aires,Pampeana,1980,56409
Punta Alta (Est. Almirante Solier) ,Coronel de Marina L. Rosales,Buenos Aires,Pampeana,1970,51507
Punta Alta (Est. Almirante Solier) ,Coronel de Marina L. Rosales,Buenos Aires,Pampeana,1960,39047
Chivilcoy,Chivilcoy,Buenos Aires,Pampeana,2010,58152
Chivilcoy,Chivilcoy,Buenos Aires,Pampeana,2001,52938
Chivilcoy,Chivilcoy,Buenos Aires,Pampeana,1991,47671
Chivilcoy,Chivilcoy,Buenos Aires,Pampeana,1980,44579
Chivilcoy,Chivilcoy,Buenos Aires,Pampeana,1970,37190
Chivilcoy,Chivilcoy,Buenos Aires,Pampeana,1960,32660
Eldorado ,Eldorado,Misiones,Noreste,2010,57323
Eldorado ,Eldorado,Misiones,Noreste,2001,47556
Eldorado ,Eldorado,Misiones,Noreste,1991,37052
Eldorado ,Eldorado,Misiones,Noreste,1980,23112
Eldorado ,Eldorado,Misiones,Noreste,1970,11682
Eldorado ,Eldorado,Misiones,Noreste,1960,9000
General Pico,Maracó,La Pampa,Pampeana,2010,56795
General Pico,Maracó,La Pampa,Pampeana,2001,52475
General Pico,Maracó,La Pampa,Pampeana,1991,41837
General Pico,Maracó,La Pampa,Pampeana,1980,30108
General Pico,Maracó,La Pampa,Pampeana,1970,21897
General Pico,Maracó,La Pampa,Pampeana,1960,17339
Ushuaia ,Ushuaia,Tierra del Fuego,Patagonia,2010,56593
Ushuaia ,Ushuaia,Tierra del Fuego,Patagonia,2001,45430
Ushuaia ,Ushuaia,Tierra del Fuego,Patagonia,1991,29166
Ushuaia ,Ushuaia,Tierra del Fuego,Patagonia,1980,11029
Ushuaia ,Ushuaia,Tierra del Fuego,Patagonia,1970,5373
Ushuaia ,Ushuaia,Tierra del Fuego,Patagonia,1960,3398
Mercedes,Mercedes,Buenos Aires,Pampeana,2010,56116
Mercedes,Mercedes,Buenos Aires,Pampeana,2001,51967
Mercedes,Mercedes,Buenos Aires,Pampeana,1991,47797
Mercedes,Mercedes,Buenos Aires,Pampeana,1980,41484
Mercedes,Mercedes,Buenos Aires,Pampeana,1970,39760
Mercedes,Mercedes,Buenos Aires,Pampeana,1960,32628
Azul,Azul,Buenos Aires,Pampeana,2010,55728
Azul,Azul,Buenos Aires,Pampeana,2001,53054
Azul,Azul,Buenos Aires,Pampeana,1991,48795
Azul,Azul,Buenos Aires,Pampeana,1980,44062
Azul,Azul,Buenos Aires,Pampeana,1970,36023
Azul,Azul,Buenos Aires,Pampeana,1960,33535
Clorinda,Pilcomayo,Formosa,Noreste,2010,52837
Clorinda,Pilcomayo,Formosa,Noreste,2001,47004
Clorinda,Pilcomayo,Formosa,Noreste,1991,37592
Clorinda,Pilcomayo,Formosa,Noreste,1980,21008
Clorinda,Pilcomayo,Formosa,Noreste,1970,16125
Clorinda,Pilcomayo,Formosa,Noreste,1960,10043
Viedma ,Adolfo Alsina,Río Negro,Comahue,2010,52789
Viedma ,Adolfo Alsina,Río Negro,Comahue,2001,46948
Viedma ,Adolfo Alsina,Río Negro,Comahue,1991,40398
Viedma ,Adolfo Alsina,Río Negro,Comahue,1980,24346
Viedma ,Adolfo Alsina,Río Negro,Comahue,1970,12785
Viedma ,Adolfo Alsina,Río Negro,Comahue,1960,6452
Caleta Olivia,Deseado,Santa Cruz,Patagonia,2010,51733
Caleta Olivia,Deseado,Santa Cruz,Patagonia,2001,36077
Caleta Olivia,Deseado,Santa Cruz,Patagonia,1991,27899
Caleta Olivia,Deseado,Santa Cruz,Patagonia,1980,20234
Caleta Olivia,Deseado,Santa Cruz,Patagonia,1970,13366
Caleta Olivia,Deseado,Santa Cruz,Patagonia,1960,3639
Concepción - San Roque,Chicligasta,Tucumán,Noroeste,2010,50375
Concepción - San Roque,Chicligasta,Tucumán,Noroeste,2001,46561
